x,y,z,d,N,Mr,Hc,Hcr
65,50,50,7,10,0.48923339,0.0618,0.0712073260489956
65,50,50,10,10,0.48897684,0.0573,0.0660314195561927
65,50,50,15,10,0.4878727,0.0502,0.0622001873854522
65,50,50,20,10,0.48727013,0.0472,0.0540433213857372
65,50,50,30,10,0.48648706,0.0403,0.0458058547130255
65,50,50,50,10,0.48490464,0.0287,0.0371677541627849
65,50,50,70,10,0.48544626,0.0226,0.0321625036229669
65,50,50,100,10,0.48604557,0.0181,0.0320023032550608
66,60,60,0,1,0.80750843,0.0086,0.0167573072258577
66,60,60,1,10,0.48962837,0.0574,0.0692632605263028
66,60,60,2,10,0.48941037,0.0551,0.0655375897533798
66,60,60,3,10,0.48923108,0.0534,0.067238705601437
66,60,60,5,10,0.48904113,0.0497,0.0605360932050038
66,60,60,7,10,0.4887716,0.0471,0.0555389553127962
66,60,60,10,10,0.4883827,0.0424,0.0522679923780358
66,60,60,15,10,0.48752554,0.037,0.0466710714752925
66,60,60,20,10,0.48698226,0.0328,0.0402583423116854
66,60,60,30,10,0.48624642,0.0263,0.03307870528352
66,60,60,50,10,0.49484375,0.0197,0.0270242419680145
66,60,60,70,10,0.50002263,0.0135,0.0220119207921852
66,60,60,100,10,0.49144166,0.0091,0.0170811848195091
70,50,50,0,1,0.48683901,0.0188,0.0320691702315334
70,50,50,1,10,0.48992553,0.0772,0.0873061114577325
70,50,50,2,10,0.48988492,0.0759,0.0855308617631953
70,50,50,3,10,0.48978735,0.0744,0.084244497260602
70,50,50,5,10,0.48966509,0.0703,0.080532164342945
70,50,50,7,10,0.4893177,0.0672,0.0760268099578437
70,50,50,10,10,0.48886384,0.0638,0.071109701590766
70,50,50,15,10,0.4881157,0.0578,0.0672002411298028
70,50,50,20,10,0.48753455,0.0525,0.0590773122264284
70,50,50,30,10,0.48650025,0.0456,0.051652033108151
70,50,50,50,10,0.4854161,0.0346,0.0422565281027912
70,50,50,70,10,0.48494377,0.0286,0.0420272065857711
70,50,50,100,10,0.48509297,0.0242,0.0370946784412093
70,70,70,1,10,0.48665096,0.0455,0.0522433678679089
70,70,70,2,10,0.48603403,0.0438,0.0521001726739709
70,70,70,3,10,0.48536479,0.0426,0.0472564048480815
70,70,70,5,10,0.48391569,0.0392,0.0471339602891335
70,70,70,7,10,0.48238237,0.0373,0.0422339036747435
70,70,70,10,1,0.80321953,0.00880000000000003,0.00901758970029549
70,70,70,10,10,0.47978498,0.0353,0.0373508919916578
70,70,70,15,10,0.47549748,0.0323,0.0372868922991484
70,70,70,20,10,0.46830738,0.0289,0.0370049815869982
70,70,70,30,10,0.43380616,0.0239,0.0320457175548978
70,70,70,50,10,0.42850887,0.0198,0.0218991997907182
70,70,70,70,10,0.44902535,0.0128,0.01694294311482
70,70,70,100,10,0.46687333,0.0102,0.0120523281296929
72,60,60,0,1,0.50899045,0.0086,0.0170947919327331
72,60,60,1,10,0.48961901,0.0647,0.0755348252583612
72,60,60,2,10,0.489412,0.0629,0.0730680430817191
72,60,60,3,10,0.48933793,0.0609,0.0708168163788181
72,60,60,5,10,0.48902113,0.0577,0.0665718915080583
72,60,60,7,10,0.48879536,0.0556,0.065285498028111
72,60,60,10,10,0.4881529,0.0514,0.0622597280373057
72,60,60,15,10,0.48713952,0.0459000000000001,0.0572026066616051
72,60,60,20,10,0.48612334,0.0415,0.051678773849187
72,60,60,30,10,0.48497349,0.0348,0.0422445393895104
72,60,60,50,10,0.48337106,0.0255,0.030463235764312
72,60,60,70,10,0.48262186,0.0199,0.0271321086066719
72,60,60,100,10,0.47937978,0.0147,0.022139646846801
77,70,70,0,1,0.59507337,0.00830000000000003,0.0095126601661346
77,70,70,1,10,0.48748205,0.0524,0.060529472889295
77,70,70,2,10,0.48693974,0.0506,0.0598360243489272
77,70,70,3,10,0.48647033,0.0501,0.0574249956923146
77,70,70,5,10,0.48538057,0.0484,0.057275767575267
77,70,70,7,10,0.4841343,0.0464000000000001,0.0572207142268664
77,70,70,10,10,0.48201848,0.0436,0.0501190088209682
77,70,70,15,10,0.47840892,0.039,0.0472023559666456
77,70,70,20,10,0.47478871,0.0345,0.0419733880271232
77,70,70,30,10,0.45129114,0.029,0.0368095915777283
77,70,70,50,10,0.41244048,0.0212,0.0267339309097859
77,70,70,70,10,0.40466668,0.016,0.0171458361113964
77,70,70,100,10,0.39371427,0.0118,0.0123430327010855
78,60,60,0,1,0.5009561,0.0142,0.0221231268132697
78,60,60,1,10,0.48950555,0.0696,0.0805324290015084
78,60,60,2,10,0.48941754,0.0676,0.0780478652525084
78,60,60,3,10,0.48935169,0.0667,0.0759297725760456
78,60,60,5,10,0.48899757,0.0643,0.0736048843908839
78,60,60,7,10,0.48869151,0.0613,0.0705305186658171
78,60,60,10,10,0.4881715,0.0574,0.0659307689053729
78,60,60,15,10,0.4871127,0.0535,0.060447424055915
78,60,60,20,10,0.48607709,0.0484,0.0572558283696171
78,60,60,30,10,0.48457659,0.0414,0.0472698135933284
78,60,60,50,10,0.48284094,0.0309,0.0361232932154321
78,60,60,70,10,0.48234748,0.0254,0.0308586078480216
78,60,60,100,10,0.48257555,0.0209,0.027176369785686
80,40,40,1,10,0.49035773,0.0971,0.109365207371944
80,40,40,20,10,0.48912081,0.0726,0.0819997669866078
80,50,50,1,10,0.49000555,0.0851,0.0931626744966607
80,50,50,10,10,0.48899634,0.0727,0.079818092127416
80,50,50,20,10,0.48773992,0.065,0.0674077210922602
80,50,50,50,10,0.48583517,0.0441,0.0571135106873647
80,50,50,100,10,0.48473998,0.0342,0.0471770957671867
80,80,80,1,10,0.47966365,0.0474000000000001,0.0515516715019915
80,80,80,2,10,0.47886228,0.0465,0.0501953670725585
80,80,80,3,10,0.47802943,0.0455,0.0522001647035266
80,80,80,5,10,0.47622697,0.0434,0.0472203772990212
80,80,80,7,10,0.47413085,0.0419,0.0445122356888766
80,80,80,10,1,0.4530542,0.00889999999999996,0.00379303208928987
80,80,80,10,10,0.46837575,0.0385,0.0420771575544984
80,80,80,15,10,0.44676864,0.0346,0.0369977677501541
80,80,80,20,10,0.42331099,0.031,0.0321786077694157
80,80,80,30,10,0.38533884,0.0263,0.0315202013134425
80,80,80,50,10,0.33472586,0.0194,0.0217161194867401
80,80,80,70,10,0.33711824,0.0156,0.0168517208681346
80,80,80,100,10,0.34795206,0.0115,0.012214654924719
84,60,60,0,1,0.47742662,0.0194,0.0271221283705006
84,60,60,1,10,0.48963576,0.0737,0.0830476600712789
84,60,60,2,10,0.48956182,0.0721,0.0808165807346871
84,60,60,3,10,0.48939246,0.0707,0.0805314971424033
84,60,60,5,10,0.48914081,0.0686,0.0762776050304897
84,60,60,7,10,0.48878995,0.0657,0.0746466506750382
84,60,60,10,10,0.48827556,0.0632,0.0702842137346552
84,60,60,15,10,0.48722131,0.0581,0.0672412678611881
84,60,60,20,10,0.48628273,0.0531,0.0622352316501928
84,60,60,30,10,0.4847438,0.0461,0.0522594523892089
84,60,60,50,10,0.48336516,0.0358,0.041271516017328
84,60,60,70,10,0.4820746,0.0304,0.035834657310907
84,60,60,100,10,0.48103473,0.0262,0.0321892620229584
84,70,70,0,1,0.39293263,0.0108,0.0122498550339644
84,70,70,1,10,0.48865787,0.06,0.0684171433099766
84,70,70,2,10,0.48806581,0.0587,0.0674117456583262
84,70,70,3,10,0.48758698,0.058,0.0656802668698838
84,70,70,5,10,0.48660525,0.0555,0.0624053400345177
84,70,70,7,10,0.48553663,0.0524,0.0622507059493438
84,70,70,10,10,0.4836807,0.0488,0.0544702777579747
84,70,70,15,10,0.48050541,0.043,0.0467717320248441
84,70,70,20,10,0.47735961,0.0384,0.0427718563898046
84,70,70,30,10,0.46676576,0.0323,0.0370351345742529
84,70,70,50,10,0.43000076,0.0223,0.0268575062220463
84,70,70,70,10,0.41761944,0.0172,0.0199882222215471
84,70,70,100,10,0.40915115,0.0146,0.0170817326433096
88,80,80,0,1,0.37324815,0.00839999999999996,0.00843047435313107
88,80,80,10,10,0.47326721,0.0425,0.0452550983650607
90,50,50,1,10,0.49006071,0.0914,0.0969509614889306
90,50,50,10,10,0.48916089,0.0806,0.0872244586358188
90,50,50,50,10,0.48627832,0.0517,0.0639934878831397
90,50,50,100,10,0.48552743,0.0422999999999999,0.0571173621904657
90,90,90,10,1,0.32184196,0.014,0.00033916124603462
90,90,90,10,10,0.4437333,0.0372,0.03712048243331
91,70,70,0,1,0.40220897,0.0121,0.0123598770750079
91,70,70,1,10,0.48875521,0.065,0.0734340031650904
91,70,70,2,10,0.48862776,0.0631,0.0712624157556619
91,70,70,3,10,0.48812001,0.0622,0.0701678460043069
91,70,70,5,10,0.48736663,0.0585,0.0667977672846931
