x,y,z,d,N,a,Mr,Mrx,Mry,Mrz,Hc,Hsw,Hsw_file1,Hsw_file2
20,50,50,10,10,59,0.00015,0.000181,-3.6e-05,3.1e-05,0,-9.9999999999989e-05,-10,0
20,50,50,10,10,60,-0.036839,0.000945,0.139843,-0.140369,0.00280000000000002,-9.9999999999989e-05,-10,0
20,50,50,10,10,61,0.000199,0.000225,0.00011,7e-05,0,-9.9999999999989e-05,-10,0
20,50,50,10,10,62,-0.008857,0.000427,0.099157,0.00022,0.000700000000000034,0,0,1
20,50,50,10,10,63,-6.7e-05,-0.000223,4.3e-05,-3.9e-05,9.9999999999989e-05,0.000200000000000033,0,1
20,50,50,10,10,64,-0.123441,0.000515,-0.140013,-0.140243,0.015,0,0,1
20,50,50,10,10,65,-0.141344,-0.000132,0.139969,-0.140262,0.0208,0,0,1
20,50,50,10,10,66,-1.6e-05,-0.000209,5e-05,-4.5e-05,9.9999999999989e-05,-9.9999999999989e-05,-10,0
20,50,50,10,10,67,-9.9e-05,0.000227,3.6e-05,-4e-05,9.9999999999989e-05,0,0,1
20,50,50,10,10,68,5.2e-05,-0.000171,-4.2e-05,4.6e-05,0,0.000200000000000033,0,1
20,50,50,10,10,69,0.015524,0.000233,-0.04531,-0.093402,-0.000599999999999989,-0.000199999999999978,-10,0
20,50,50,10,10,70,-0.000148,-7.2e-05,-0.00012,-8e-05,9.9999999999989e-05,0,0,1
20,50,50,10,10,71,-0.022971,-0.000253,0.000529,-0.098242,0.0025,-9.9999999999989e-05,-10,0
20,50,50,10,10,72,0.010686,2.4e-05,-0.093923,0.045148,-0.0005,-9.9999999999989e-05,-10,0
20,50,50,10,10,73,0.000196,0.000205,-2.6e-05,2.2e-05,0,-9.9999999999989e-05,-10,0
20,50,50,10,10,74,-0.041448,-0.003803,0.139507,-0.140783,0.00330000000000003,-0.000299999999999967,-10,0
20,50,50,10,10,75,-0.072477,-0.000189,-0.139971,-0.140278,0.00589999999999996,-9.9999999999989e-05,-10,0
20,50,50,10,10,76,-0.028927,2.2e-05,-0.092405,0.045378,0.00340000000000001,0,0,1
20,50,50,10,10,77,-0.108325,-0.000776,0.139853,-0.14038,0.0117,0,0,1
20,50,50,10,10,78,-3e-06,0.000183,3.7e-05,-4.1e-05,9.9999999999989e-05,-9.9999999999989e-05,-10,0
20,50,50,10,10,79,-9.8e-05,-0.000134,5.7e-05,-5.3e-05,9.9999999999989e-05,0,0,1
20,50,50,10,10,80,-0.102807,-0.000169,-0.138425,-0.096383,0.0119,0,0,1
20,50,50,10,10,81,-0.00014,0.000185,-2.1e-05,1.6e-05,9.9999999999989e-05,0,0,1
20,50,50,10,10,82,0.00022,0.000279,0.000104,6.4e-05,0,-9.9999999999989e-05,-10,0
20,50,50,10,10,83,-0.104195,-0.000675,-0.14002,-0.140229,0.0105,0,0,1
20,50,50,10,10,84,-0.110573,0.001218,-0.140855,-0.139405,0.0119,9.9999999999989e-05,0,1
20,50,50,10,10,85,0.000405,-0.000516,-0.093882,0.045168,0,-9.9999999999989e-05,-10,0
20,50,50,10,10,86,6.2e-05,0.000214,0.000149,0.000108,0,0,0,1
20,50,50,10,10,87,0.011856,-8.6e-05,0.044814,-0.093873,-0.0005,-9.9999999999989e-05,-10,0
20,50,50,10,10,88,-0.084733,0.000188,0.00075,-0.098135,0.0108,0,0,1
20,50,50,10,10,89,-0.016462,-0.000109,0.044767,-0.093922,0.00180000000000002,-9.9999999999989e-05,-10,0
20,50,50,10,10,90,-9.9e-05,-0.000169,-0.00012,-8e-05,9.9999999999989e-05,-0.000199999999999978,-10,0
20,50,50,10,10,91,0.000107,-0.000186,1e-05,-6e-06,0,-9.9999999999989e-05,-10,0
20,50,50,10,10,92,2.1e-05,3.5e-05,-2.5e-05,2e-05,0,0,0,1
